,x,y
0,63.085785,-1.4605724
1,48.700203,45.168102
2,-44.368156,7.2670226
3,77.03198,34.561604
4,-38.283157,-44.280163
5,33.0227,37.86541
6,27.315432,68.82292
7,13.944386,-83.76127
8,-18.078829,-22.162071
9,14.332227,-46.145454
10,-45.36853,-67.65235
11,34.301197,-45.766445
12,-28.891567,16.19066
13,-39.37667,-27.952452
14,56.610703,-43.8301
15,-18.566738,-3.6085863
16,-33.25667,51.920162
17,-47.012505,39.670414
18,-7.738269,-57.018646
19,16.503725,2.62188
20,-21.261225,33.423443
21,56.281254,13.448311
22,-18.532894,-22.131252
23,0.12687965,52.65134
24,-7.326681,11.110554
25,5.7988,-43.313828
26,-65.62584,-52.82198
27,-1.4286546,-4.24805
28,-12.515301,58.84433
29,77.67711,-17.569958
30,69.676605,38.84972
31,-67.21793,39.581226
32,7.034686,-71.85881
33,25.407015,-21.115395
34,-35.14138,2.0951154
35,0.013525245,7.369945
36,18.993855,19.076365
37,53.696198,12.90093
38,69.42151,-40.17871
39,26.628868,-2.9437177
40,34.06227,-31.902882
41,9.526335,-25.730656
42,7.7544327,50.139343
43,13.604788,-39.837353
44,-19.757797,-46.198242
45,24.21657,-39.513084
46,-6.7853355,42.579735
47,-80.49468,-24.422659
48,68.422386,-13.3229685
49,-53.25165,-43.751762
50,1.8115149,36.97847
51,13.4674015,-62.97898
52,48.97502,15.146955
53,-47.82871,30.917494
54,-41.083023,9.864836
55,55.15993,-5.3520203
56,33.46671,30.825191
57,79.51278,22.075466
58,3.2643416,-38.760105
59,8.021488,3.293041
60,-6.0105987,-29.725925
61,15.481715,-8.2775345
62,10.415666,51.823128
63,-66.465096,31.650978
64,-19.268307,10.486269
65,-19.687405,-31.395563
66,-36.50762,-4.3712063
67,7.7983665,47.731678
68,3.8163488,-10.459547
69,20.897459,17.630474
70,74.82859,3.6819856
71,-12.740395,-84.35651
72,-14.446329,-82.39073
73,-43.087452,-69.02179
74,-14.1347475,-2.4525008
75,28.539688,6.5077605
76,25.164927,5.7854037
77,54.019756,-40.897015
78,-47.12343,32.300632
79,21.550947,-53.601566
80,-67.226974,-39.04706
81,-33.101463,-6.1504655
82,24.488241,-22.96462
83,-40.394417,4.6577597
84,1.7878635,12.026712
85,55.90716,-49.982048
86,17.086472,15.381841
87,-73.41946,5.7369084
88,-65.18402,-38.18437
89,-62.93633,-52.275154
90,-21.715673,-57.745018
91,-18.01906,-22.074642
92,-42.60598,40.249115
93,16.961004,20.23882
94,12.572308,1.1077033
95,-32.762493,-49.27674
96,33.75653,4.6332297
97,-11.68672,-13.165013
98,55.82016,-43.47043
99,54.94843,-3.683936
100,-27.087828,60.523567
101,77.638596,28.11515
102,6.3013673,74.18943
103,-29.460936,4.150047
104,-16.682297,8.4201565
105,-21.575651,-60.97534
106,-13.898697,41.780342
107,-20.556585,-1.6017398
108,64.52051,16.655348
109,0.9213823,0.7783676
110,-80.144325,0.87115616
111,-52.086487,55.49351
112,13.64737,63.24961
113,32.08589,25.463177
114,-12.646426,58.162594
115,-28.79056,-34.866405
